county,max_temp,anomaly,rank,mean,month,state,total_workers_h2a
Grant,81.6,-3,30,84.6,July,North Dakota,15
Griggs,77.7,-4.2,12,81.9,July,North Dakota,10
Hettinger,81.6,-2.1,38,83.7,July,North Dakota,30
Kidder,78.2,-3.9,18,82.1,July,North Dakota,64
LaMoure,79.8,-3.1,26,82.9,July,North Dakota,57
Logan,78.8,-4,18,82.8,July,North Dakota,43
McHenry,80.5,-1.6,46,82.1,July,North Dakota,76
McIntosh,78.6,-4.4,16,83,July,North Dakota,60
McKenzie,83,-0.3,55,83.3,July,North Dakota,25
McLean,80.5,-1.6,38,82.1,July,North Dakota,187
Mercer,81.3,-1.8,38,83.1,July,North Dakota,46
Morton,80.8,-2.9,29,83.7,July,North Dakota,119
Mountrail,80.8,-0.5,53,81.3,July,North Dakota,105
Nelson,77.8,-3,24,80.8,July,North Dakota,80
Oliver,80.2,-2.7,31,82.9,July,North Dakota,16
Pembina,79,-1.2,46,80.2,July,North Dakota,203
Pierce,79.2,-2.1,37,81.3,July,North Dakota,17
Ramsey,77.7,-3.2,25,80.9,July,North Dakota,139
Ransom,81.2,-1.7,39,82.9,July,North Dakota,24
Renville,80.2,-1.3,50,81.5,July,North Dakota,44
Richland,81.4,-1.8,42,83.2,July,North Dakota,89
Rolette,78.2,-0.8,54,79,July,North Dakota,28
Sargent,80.9,-2.4,32,83.3,July,North Dakota,116
Sheridan,78,-3.7,18,81.7,July,North Dakota,23
Sioux,81.8,-3.2,24,85,July,North Dakota,6
Slope,83.2,-0.9,47,84.1,July,North Dakota,23
Stark,81.6,-1.8,38,83.4,July,North Dakota,46
Steele,77.7,-4.5,9,82.2,July,North Dakota,62
Stutsman,78.7,-3.5,22,82.2,July,North Dakota,74
Towner,78.7,-1,48,79.7,July,North Dakota,35
Traill,79,-3.7,18,82.7,July,North Dakota,71
Walsh,79,-1.3,43,80.3,July,North Dakota,257
Ward,80,-1.7,40,81.7,July,North Dakota,178
Wells,77.1,-4.6,13,81.7,July,North Dakota,113
Williams,82.3,0.4,63,81.9,July,North Dakota,110
Bon Homme,84.4,-3.7,21,88.1,July,North Dakota,5
Grant,82,-1,56,83,July,North Dakota,15
Marshall,80.2,-2,39,82.2,July,North Dakota,2
Sheridan,80.2,-0.5,54,80.7,July,North Dakota,23
Adams,87.9,1.7,88,86.2,August,North Dakota,31
Logan,88.4,1.6,86,86.8,August,North Dakota,43
Richland,85.2,2.1,94,83.1,August,North Dakota,89
Sheridan,83.5,3.1,102,80.4,August,North Dakota,23
Adams,82.6,-0.3,62,82.9,August,North Dakota,31
Barnes,79.2,-1.6,48,80.8,August,North Dakota,41
Benson,78.7,-1,58,79.7,August,North Dakota,48
Billings,82.7,0.2,65,82.5,August,North Dakota,2
Bottineau,79.6,0.2,68,79.4,August,North Dakota,84
Bowman,83.6,0.5,69,83.1,August,North Dakota,22
Burke,78.9,0.2,63,78.7,August,North Dakota,16
Burleigh,78.4,-2.8,37,81.2,August,North Dakota,83
Cass,81.2,-0.3,70,81.5,August,North Dakota,73
Cavalier,77.6,0.2,63,77.4,August,North Dakota,133
Dickey,79,-2.6,36,81.6,August,North Dakota,97
Divide,81.7,2.3,93,79.4,August,North Dakota,34
