Year,StateAbbr,state,county,Category,Measure,Data_Value_Type,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,TotalPop18plus,LocationID,MeasureId,Short_Question_Text,Geolocation
2022,CO,Colorado,Alamosa,Health Outcomes,Arthritis among adults,Crude prevalence,23.6,23.6,23.6,16592,12572,8003,ARTHRITIS,Arthritis,POINT (-105.78848300659 37.5728638541496)
2022,CO,Colorado,Alamosa,Health Outcomes,Obesity among adults,Age-adjusted prevalence,31.9,24.8,39.5,16592,12572,8003,OBESITY,Obesity,POINT (-105.78848300659 37.5728638541496)
2022,CO,Colorado,Alamosa,Disability,Cognitive disability among adults,Age-adjusted prevalence,17.5,15.7,19.4,16592,12572,8003,COGNITION,Cognitive Disability,POINT (-105.78848300659 37.5728638541496)
2021,CO,Colorado,Alamosa,Health Outcomes,High blood pressure among adults,Age-adjusted prevalence,28.2,24.3,32.4,16592,12572,8003,BPHIGH,High Blood Pressure,POINT (-105.78848300659 37.5728638541496)
2021,CO,Colorado,Alamosa,Health Outcomes,High cholesterol among adults who have ever been screened,Crude prevalence,31.1,27.1,35.5,16592,12572,8003,HIGHCHOL,High Cholesterol,POINT (-105.78848300659 37.5728638541496)
2022,CO,Colorado,Alamosa,Disability,Self-care disability among adults,Age-adjusted prevalence,4.6,4.2,5,16592,12572,8003,SELFCARE,Self-care Disability,POINT (-105.78848300659 37.5728638541496)
2022,CO,Colorado,Alamosa,Prevention,Visits to doctor for routine checkup within the past year among adults,Age-adjusted prevalence,66.2,61.3,70.8,16592,12572,8003,CHECKUP,Annual Checkup,POINT (-105.78848300659 37.5728638541496)
2022,CO,Colorado,Alamosa,Health Outcomes,Chronic obstructive pulmonary disease among adults,Age-adjusted prevalence,6.3,5.6,7.1,16592,12572,8003,COPD,COPD,POINT (-105.78848300659 37.5728638541496)
2022,CO,Colorado,Alamosa,Health Risk Behaviors,No leisure-time physical activity among adults,Crude prevalence,23,19.1,27.2,16592,12572,8003,LPA,Physical Inactivity,POINT (-105.78848300659 37.5728638541496)
2022,CO,Colorado,Alamosa,Health Outcomes,Current asthma among adults,Crude prevalence,11.5,10.2,13,16592,12572,8003,CASTHMA,Current Asthma,POINT (-105.78848300659 37.5728638541496)
2022,CO,Colorado,Alamosa,Health Outcomes,Stroke among adults,Age-adjusted prevalence,3.2,3,3.5,16592,12572,8003,STROKE,Stroke,POINT (-105.78848300659 37.5728638541496)
2022,CO,Colorado,Alamosa,Health Status,Frequent mental distress among adults,Age-adjusted prevalence,19.6,17.7,21.5,16592,12572,8003,MHLTH,Frequent Mental Distress,POINT (-105.78848300659 37.5728638541496)
2022,CO,Colorado,Alamosa,Prevention,Visited dentist or dental clinic in the past year among adults,Age-adjusted prevalence,53.6,49.7,57.5,16592,12572,8003,DENTAL,Dental Visit,POINT (-105.78848300659 37.5728638541496)
2022,CO,Colorado,Alamosa,Disability,Hearing disability among adults,Age-adjusted prevalence,6.6,5.9,7.4,16592,12572,8003,HEARING,Hearing Disability,POINT (-105.78848300659 37.5728638541496)
2021,CO,Colorado,Alamosa,Prevention,Taking medicine to control high blood pressure among adults with high blood pressure,Crude prevalence,71.4,68,74.7,16592,12572,8003,BPMED,High Blood Pressure Medication,POINT (-105.78848300659 37.5728638541496)
2022,CO,Colorado,Alamosa,Disability,Any disability among adults,Crude prevalence,31.9,27.7,36.3,16592,12572,8003,DISABILITY,Any Disability,POINT (-105.78848300659 37.5728638541496)
2022,CO,Colorado,Alamosa,Health Risk Behaviors,Binge drinking among adults,Crude prevalence,18.8,15.3,22.6,16592,12572,8003,BINGE,Binge Drinking,POINT (-105.78848300659 37.5728638541496)
2022,CO,Colorado,Alamosa,Health Outcomes,Depression among adults,Crude prevalence,24.1,20.5,27.9,16592,12572,8003,DEPRESSION,Depression,POINT (-105.78848300659 37.5728638541496)
2022,CO,Colorado,Alamosa,Disability,Independent living disability among adults,Age-adjusted prevalence,9.5,8.6,10.5,16592,12572,8003,INDEPLIVE,Independent Living Disability,POINT (-105.78848300659 37.5728638541496)
2022,CO,Colorado,Alamosa,Disability,Self-care disability among adults,Crude prevalence,4.3,4,4.7,16592,12572,8003,SELFCARE,Self-care Disability,POINT (-105.78848300659 37.5728638541496)
2022,CO,Colorado,Alamosa,Prevention,Visits to doctor for routine checkup within the past year among adults,Crude prevalence,66.5,61.7,71,16592,12572,8003,CHECKUP,Annual Checkup,POINT (-105.78848300659 37.5728638541496)
2022,CO,Colorado,Alamosa,Health Outcomes,Chronic obstructive pulmonary disease among adults,Crude prevalence,6.2,5.5,6.9,16592,12572,8003,COPD,COPD,POINT (-105.78848300659 37.5728638541496)
2022,CO,Colorado,Alamosa,Health Risk Behaviors,No leisure-time physical activity among adults,Age-adjusted prevalence,23.8,19.8,28,16592,12572,8003,LPA,Physical Inactivity,POINT (-105.78848300659 37.5728638541496)
